,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
1,1/1/2017 0:10,6.414,74.5,0.083,0.07,0.085,29814.68354,19375.07599,20131.08434
2,1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,29128.10127,19006.68693,19668.43373
3,1/1/2017 0:30,6.121,75.0,0.083,0.091,0.096,28228.86076,18361.09422,18899.27711
4,1/1/2017 0:40,5.921,75.7,0.081,0.048,0.085,27335.6962,17872.34043,18442.40964
5,1/1/2017 0:50,5.853,76.9,0.081,0.059,0.108,26624.81013,17416.41337,18130.12048
6,1/1/2017 1:00,5.641,77.7,0.08,0.048,0.096,25998.98734,16993.31307,17945.06024
7,1/1/2017 1:10,5.496,78.2,0.085,0.055,0.093,25446.07595,16661.39818,17459.27711
8,1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,24777.72152,16227.35562,17025.54217
9,1/1/2017 1:30,5.491,77.3,0.082,0.062,0.111,24279.49367,15939.20973,16794.21687
10,1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,23896.70886,15435.86626,16638.07229
11,1/1/2017 1:50,5.471,76.7,0.083,0.059,0.126,23544.3038,15213.37386,16395.18072
12,1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,23003.5443,15169.60486,16117.59036
13,1/1/2017 2:10,4.968,78.8,0.084,0.07,0.134,22329.11392,14710.0304,15822.6506
14,1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,22092.1519,14421.8845,15672.28916
16,1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,21685.06329,13965.95745,15510.36145
18,1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096
19,1/1/2017 3:10,5.081,77.7,0.084,0.051,0.13,20998.48101,13371.42857,15059.27711
20,1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,20870.88608,13196.35258,15013.01205
21,1/1/2017 3:30,5.034,76.9,0.083,0.051,0.185,20870.88608,13167.17325,14897.3494
23,1/1/2017 3:50,4.805,76.2,0.081,0.059,0.134,20421.26582,12908.20669,14590.84337
24,1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,20524.55696,12820.66869,14585.06024
25,1/1/2017 4:10,4.901,74.4,0.083,0.07,0.122,20482.02532,13032.21884,14452.04819
26,1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,20530.63291,12926.44377,14232.28916
28,1/1/2017 4:40,5.156,74.0,0.079,0.062,0.148,20494.17722,12922.79635,14232.28916
29,1/1/2017 4:50,5.179,74.2,0.083,0.037,0.137,20311.89873,12879.02736,14243.85542
32,1/1/2017 5:20,5.546,74.0,0.082,0.055,0.093,20627.8481,12842.55319,14266.98795
33,1/1/2017 5:30,4.658,73.5,0.08,0.044,0.104,20797.97468,13137.99392,14353.73494
34,1/1/2017 5:40,4.382,76.9,0.081,0.073,0.148,20858.73418,13203.64742,14538.79518
35,1/1/2017 5:50,4.212,78.3,0.081,0.117,0.082,21393.41772,13575.68389,14862.6506
36,1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566
37,1/1/2017 6:10,4.735,74.3,0.08,0.04,0.156,21928.10127,13852.88754,14729.63855
38,1/1/2017 6:20,4.769,75.6,0.082,0.099,0.063,21776.20253,13626.74772,14625.54217
39,1/1/2017 6:30,4.92,73.7,0.083,0.099,0.096,21654.68354,13582.97872,14480.96386
40,1/1/2017 6:40,4.408,76.7,0.082,0.037,0.119,21466.32911,13539.20973,14319.03614
41,1/1/2017 6:50,4.29,77.0,0.085,0.033,0.193,20846.58228,12908.20669,14018.31325
42,1/1/2017 7:00,4.304,76.0,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819
45,1/1/2017 7:30,4.356,72.3,0.082,0.07,0.119,18075.94937,11263.22188,10640.96386
46,1/1/2017 7:40,4.478,72.2,0.083,0.073,0.089,18063.79747,10719.75684,10455.90361
47,1/1/2017 7:50,4.583,71.0,0.083,0.066,0.104,18045.56962,10924.01216,10496.38554
48,1/1/2017 8:00,4.794,72.0,0.084,0.187,0.145,18385.82278,10949.54407,10710.36145
49,1/1/2017 8:10,4.807,73.1,0.082,0.955,0.949,18987.34177,11347.11246,10837.59036
51,1/1/2017 8:30,4.509,74.5,0.084,6.643,6.494,20488.97468,11945.28875,11178.79518
54,1/1/2017 9:00,4.704,71.8,0.083,82.5,20.15,21296.20253,12871.73252,12283.37349
55,1/1/2017 9:10,4.624,74.1,0.082,106.9,22.55,22043.5443,13203.64742,12427.95181
56,1/1/2017 9:20,4.629,74.8,0.083,132.1,24.3,22651.13924,13542.85714,12826.98795
58,1/1/2017 9:40,4.524,74.7,0.081,182.4,28.19,23641.51899,14392.70517,13648.19277
59,1/1/2017 9:50,4.575,74.5,0.082,208.8,29.2,24668.35443,14830.39514,13850.60241
60,1/1/2017 10:00,5.124,73.7,0.076,234.8,29.23,25275.94937,15238.90578,14162.89157
61,1/1/2017 10:10,5.836,71.3,2.66,257.9,31.01,25920.0,15837.08207,14428.91566
62,1/1/2017 10:20,5.996,69.85,4.93,282.7,31.96,26393.92405,16059.57447,14671.80723
64,1/1/2017 10:40,6.703,68.01,4.923,327.6,33.22,27511.89873,16774.46809,15267.46988
65,1/1/2017 10:50,6.993,66.14,4.918,349.6,33.41,28149.87342,17164.74164,15244.33735
67,1/1/2017 11:10,8.22,61.9,4.916,388.2,33.89,29043.03797,17478.41945,15816.86747
68,1/1/2017 11:20,9.49,59.3,208.451,401.3,34.4,29261.77215,17792.09726,15932.53012
69,1/1/2017 11:30,10.65,56.03,0.084,419.5,35.29,29474.43038,17748.32827,16053.9759
72,1/1/2017 12:00,13.08,54.36,0.077,450.4,43.2,29644.55696,18131.30699,16562.89157
74,1/1/2017 12:20,15.02,56.46,0.074,480.0,38.81,29887.59494,18156.83891,16649.63855
75,1/1/2017 12:30,15.55,58.7,0.075,486.1,39.46,30039.49367,18335.56231,16869.39759
76,1/1/2017 12:40,15.56,59.23,0.076,490.2,40.92,29966.58228,18204.25532,17094.93976
77,1/1/2017 12:50,15.49,59.3,0.076,495.9,40.9,29996.96203,18196.96049,17418.79518
78,1/1/2017 13:00,15.57,58.06,0.077,498.1,40.94,30258.22785,18466.8693,17413.01205
79,1/1/2017 13:10,15.65,58.7,0.077,498.1,42.75,30404.05063,18350.15198,17436.14458
80,1/1/2017 13:20,15.73,59.33,0.076,498.8,44.65,30094.17722,18331.91489,17332.04819
81,1/1/2017 13:30,15.68,58.6,0.079,497.0,44.26,30161.01266,18419.45289,17465.06024
83,1/1/2017 13:50,15.75,52.45,0.077,482.4,38.65,30154.93671,18390.27356,16979.27711
85,1/1/2017 14:10,15.79,56.66,0.076,467.7,39.94,30021.26582,18142.24924,17048.6747
86,1/1/2017 14:20,15.72,55.86,0.077,456.1,39.95,30021.26582,18113.06991,16950.36145
88,1/1/2017 14:40,15.74,55.56,0.075,437.4,44.13,29747.8481,17996.35258,16684.33735
89,1/1/2017 14:50,15.72,56.69,0.077,422.0,43.87,29705.31646,17952.58359,16678.55422
90,1/1/2017 15:00,15.64,57.26,0.077,409.0,44.9,29571.64557,17894.22492,16753.73494
91,1/1/2017 15:10,15.69,57.96,0.074,391.8,46.89,29553.41772,17846.80851,16805.78313
92,1/1/2017 15:20,15.69,58.93,0.075,369.4,51.51,29383.29114,17525.83587,16649.63855
93,1/1/2017 15:30,15.6,58.7,0.073,321.0,57.14,29061.26582,17547.72036,16586.0241
94,1/1/2017 15:40,15.39,57.6,0.075,180.3,60.31,28885.06329,17770.21277,16476.14458
