X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2,mixed_type_col
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,15.55,21.33,637
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,15.55,21.33,618
0.98,514.5,294.0, 110.25 ,7.0,4.0,0.0,0.0,15.55,21.33,412
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,15.55,21.33,243
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,20.84,28.28,979
0.9,,318.5,122.5,7.0,3.0,0.0,0.0,21.46,25.38,
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,20.71,25.16,272
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,19.68,29.6,706
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,19.5,27.3,481
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,19.95,21.97,bad
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,19.34,23.49,648
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,18.31,27.87,368
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0, 17.05 , 23.77 ,152
0.82,612.5, 318.5 ,147.0, 7.0 ,3.0,0.0,0.0,17.41,21.46,bad
0.82,612.5,318.5,147.0,7.0, 4.0 ,0.0,0.0, 16.95 ,21.16,939
0.82,612.5,318.5,147.0,7.0,5.0,516.0,0.0,15.98,24.93,unknown
0.79,637.0, 343.0 ,147.0,7.0,2.0,0.0,0.0,28.52,37.73,417
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,29.9,31.27,
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,29.63,30.93,bad
0.79,637.0,343.0,147.0,7.0, 5.0 ,0.0,0.0,28.75,39.44,912
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,24.77,29.79,768
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,23.93,29.68,534
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,24.77,29.79,475
0.76,661.5,416.5, 122.5 ,7.0,5.0,0.0,0.0,23.93,29.4,865
0.74,686.0,245.0,220.5, 3.5 ,2.0,0.0,0.0,6.07,10.9,856
0.74,686.0,245.0,220.5,3.5,3.0,0.0, 0.0 ,6.05,11.19,unknown
0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,6.01,10.94,964
0.74,686.0, 245.0 ,220.5,3.5,5.0,0.0, 0.0 ,6.04,11.17,827
0.71, 710.5 ,269.5,220.5,3.5,2.0,0.0,0.0,6.37,11.27,846
0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,6.4,11.72,56
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0, 6.366 ,11.29,130
0.71, 710.5 ,269.5,220.5,3.5,5.0,0.0,0.0,6.4,11.67,298
24.15,735.0,294.0,220.5,3.5,2.0,0.0,0.0,6.85,11.74,761
0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,6.79,12.05,unknown
0.69,735.0,294.0,220.5,3.5,,0.0, 0.0 ,6.77,11.73,82
0.69,735.0,294.0, 220.5 ,3.5,5.0,0.0,0.0,6.81,11.93,
